日付,格言,発言者,解説
06-26,"何も投資しない場合、報酬はほとんど価値がありません。(If you invest nothing, the reward is worth little.)",ウォール街の名言,
06-27,マーケットは短期的には投票機だが、長期的には秤だ,村上世彰,
06-28,私が確かに人より優れている点は、私が間違いを認められるところです。それが私の成功の秘密なのです。,ジョージ・ソロス,
06-29,一生の計は、二十代にあり。一年の計は元旦にあり。一日の計は朝にあり,本多静六,
06-30,下がったときに買い、さらに下がったらさらに買う。そして待つ,竹田和平,
07-01,幸福というものは少しずつの進歩によって手に入るものであり、１回きりの成功によってでは決してない。小さな家から始まって、１つずつ部屋を建て増してゆく過程にこそ幸せがあるのであって、宮殿に住むことからではない。,ウォーレン・バフェット,
07-02,いつとても買い落城の弱峠、こわいところを買うが極意ぞ。,三猿金泉秘録,
07-03,長期的視点を持つことが、短期的な市場のノイズを乗り越える鍵だ,キャシー・ウッド,
07-04,相場のことは相場にきけ,日本の相場格言,
07-05,もし自分が間違っている可能性を真剣に考えないなら、あなたは自分自身を盲目にしている,レイ・ダリオ,
07-06,二度に買うべし 二度に売るべし,日本の相場格言,相場の結果は神のみぞ知るところである。まずは打診買いをして自分の判断の当否を確かめ、予想通りなら本格出動するのがよい。売りでも同様に、ある程度高値になったら一部を売ってみて、状況を見て残りを売る。買いでも売りでも打診を続け、確信を持てた段階で勝負に出ることが大切である。
07-07,"10%の確率で100倍の配当が得られるなら、毎回その賭けに乗るべきだ(Given a 10% chance of a 100 times payoff, you should take that bet every time.)",ウォール街の名言,
07-08,初押しは買い,日本の相場格言,人気銘柄でも一本調子で上がり続けることはなく、値下がり（押し）したときこそが買い場だと説く格言である。相場の上昇初期は買いの勢いが強いからである。反対に「初戻しは売り」と言い、下値から3割上げたときが売り時となる。同様の格言に「初押しは女房を質においても買え」がある。
07-09,私は、何が起きるか確信を持てたことなど一度もない。,ハワード・マークス,不確実性の高い時代においては、「断言する」意見よりも「不確かさを前提とした柔軟な判断」が必要であると示唆している。コロナ禍という背景のもとで語られた現実的な警句である。
07-10,天災は買い向かえ,日本の相場格言,
07-11,最も重要なのは、自分の能力の輪をどれだけ大きくするかではなく、その輪の境界をどこまで厳密に決められるかです。,ウォーレン・バフェット,
07-12,つかぬときはやめよ,日本の相場格言,
07-13,長々不手合い続き、内証に義理ある銀子入り用のとき、いつまでに何程利を得ざれば義理立たずと、日を限りて商いすること、大いに心得違いなるべし。,八木豹之巻,
07-14,"ウォール街が国を所有している。それはもはや人民の、人民による、人民のための政府ではなく、ウォール街の、ウォール街による、そしてウォール街のための政府である。(Wall Street owns the country. It is no longer a government of the people, by the people, and for the people, but a government of Wall Street, by Wall Street, and for Wall Street.)",ウォール街の名言,
07-15,名人は相場の恐さを知る,日本の相場格言,
07-16,株価の下落は、1月のコロラドに吹雪が吹き荒れるのと同じくらい頻繁に起こることである。株価の下落は慌てふためいて逃げ出した投資家が残して言った割安株を拾う絶好の機会である,ピーター・リンチ,長年にわたり優れた投資パフォーマンスを上げた米国の著名なファンドマネージャー。暴落は珍しいことではなく周期的にやってくるため、それを前提に備えることで、むしろチャンスとすることができるという教えである。
07-17,引かれ腰は弱く、利食い腰は強く。,八木龍之巻,
07-18,当たり屋につけ,日本の相場格言,相場の世界では、売買の周期が相場のサイクルとピッタリ符合し、いつも必ず利益を収める人のことを“当たり屋”と呼ぶ。自分であれこれ思い迷うより、いっそ当たり屋と同じ売買をした方が良いと考え、その売買に便乗することを「当たり屋につけ」と言う。これと正反対の格言に「曲がり屋（思惑のはずれた投資家）に向かえ」がある。これは曲がり屋が買えば売り、売れば買うという具合に反対の売買をすれば利益が得られるという理屈である。
07-19,やる価値のないことなら、うまくやる価値もない。,ウォーレン・バフェット,
07-20,夏枯れ相場,アノマリー,夏場に市場の取引参加者が減少し、相場の動きが鈍る現象。特に日本では8月のお盆時期に投資家が夏季休暇を取るため、金融市場の売買が減少し、値動きが小幅になる傾向がある。
07-21,割り高に売りなし、割り安に買いなし,日本の相場格言,
07-22,間違っていたらただちに撤退するのみだ,マイケル・プラット,判断が間違っていたと分かった時には、即座に損切りして被害を最小限に抑えるべきであるという意味である。損失を放置すると悪化し、後のチャンスを逃すことにもつながる。冷静に損失を受け入れることが成功の鍵となる。
07-23,もうはまだなり まだはもうなり,日本の相場格言,「もう底だ」と思えるときは「まだ下がるのではないか」と疑い、「まだ下がる」と思うときは「もう底かもしれない」と疑えという意味の格言である。相場の微妙な変化に対し、独善的な判断が危険であることを教える。投資家心理と相場のズレを言い表した名格言である。
07-24,不利運のとき、見切り大切のことなり。思い入れ違うときは早仕舞い、行付をみるべし。,宗久翁秘録,
07-25,大切なのは、何に投資するかではなく、いつ投資するかだ,藤野英人,
07-26,リスクをもたらすのは、自分の行動を理解していないことだ。,ウォーレン・バフェット,株式投資において最大のリスクは無知である。自分の行動を理解するには知識と経験が不可欠であり、実践を通じて身に付けていく必要があるという教訓である。
07-27,指値を取り消すな,日本の相場格言,
07-28,ドタバタは避けよ,ウォール街,
07-29,第一のルール：絶対に損をしないこと。第二のルール：第一のルールを決して忘れないこと。,ウォーレン・バフェット,儲けを優先してリスクヘッジを疎かにしがちな投資行動を戒めるための言葉である。投資における基本的な姿勢として示される。
07-30,馬鹿と相場には勝てぬ,日本の相場格言,
07-31,知っている人は、私やあなたに教えない。(Those in the know ain't telling me or you.),ウォール街の名言,
08-01,強気も弱気も株でもうけられるが、欲張りはダメ,ウォール街,
08-02,痛みから学べば、二度と同じ過ちを繰り返さないだろう。痛みは素晴らしい教師だ,レイ・ダリオ,
08-03,人々はしばしば、組み立てるのに苦労するデータを使うよりも、ほとんどあるいは全くないデータに基づいて行動することを望むことに驚かされる。(It amazes me how people are often more willing to act based on little or no data than to use data that is a challenge to assemble.),ウォール街の名言,
08-04,株を買うより時を買え,日本の相場格言,投資対象よりも投資の“時期”を選ぶことの方が大切。タイミング重視の投資判断を説いている。
08-05,株は高すぎて買えない、安すぎて売れないということはない。(Remember that stocks are never too high for you to begin buying or too low to begin selling.),ウォール街の名言,
08-06,朝顔の花ひとつ時,日本の相場格言,仕手株相場は相場が激しく動くことから、一見華々しく見えるが、その多くは朝顔の花のようにあっけなくしおれてしまうことが多い。仕手株の場合、仕手が入ったと一般投資家に分かった時点で、大抵仕手の本尊は売り逃げている。その挙句、暴落した株をつかまされて涙にくれるのは一般投資家である。そのような羽目にならないよう、仕手株からは一歩距離を置き、絶対に手を出さないようにすべきだという格言である。
08-07,"本当の富豪は占星術を使いませんが、億万長者は使います。(Millionaires don’t use Astrology, billionaires do.)",ウォール街の名言,
08-08,二度に買うべし　二度に売るべし,牛田権三郎,一度にすべてを売買するのではなく、まずは様子見の打診買いや打診売りを行い、状況を確認してから本格的に動くべきという意味の格言である。江戸時代の米相場でも説かれていた慎重さを現代にも応用するべきである。
08-09,投資をすることは、特定の目的を達成するために戦略的に資源を投入する行為である。(Investing money is the process of committing resources in a strategic way to accomplish a specific objective.),ウォール街の名言,
08-10,理外の理,日本の相場格言,
08-11,"投資で最も危険な言葉は、「今回は違います。」(The four most dangerous words in investing are, it’s different this time.)",ウォール街の名言,
08-12,買いにくい相場は高い,日本の相場格言,
08-13,天井を買わず 底を売らず,宗久翁秘録,
08-14,虫の好かぬ株は買うな,日本の相場格言,
08-15,他人が貪欲になっているときは恐る恐る。周りが怖がっているときは貪欲に,ウォーレン・バフェット,
08-16,わが思い入れをみだりに人に話すなかれ。他の了簡聞くことなかれ。,相庭高下伝,
08-17,"どれだけのお金を稼いだかではなく、どれだけのお金を維持し、どれだけ一生懸命働き、何世代にわたってそれを維持できるかだ。(It’s not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for.)",ウォール街の名言,
08-18,リスクの高いところには誰もいないと思うとき、実はそこが最もリスクが高い,レイ・ダリオ,
08-19,陰きわまれば陽転す,日本の相場格言,人気がなく売買が細った状態が続いたあとの相場は反転しやすいという意味。悲観の極みが買い場となることがあるという教訓。
08-20,時間というのは素晴らしいビジネスには友達であっても、月並みなビジネスにとっては敵。,ウォーレン・バフェット,
08-21,山高ければ谷深し,日本の相場格言,株価は暴騰したあとには暴落が待っているということを示す格言である。逆に「谷深ければ山高し」という格言もあり、下落が深ければ反発も大きくなる可能性があることを教えている。
08-22,最も逆張り的なことは、群衆に反対することではなく、自分で考えることです。(The most contrarian thing of all is not to oppose the crowd but to think for yourself.),ウォール街の名言,
08-23,月替わり効果,アノマリー,月の変わり目に株価が上昇しやすいアノマリーのこと。「機関投資家のリバランスが月末に行われる」「給料日が月の後半に多い」などが要因として考えられる。最終取引日から翌月はじめの3取引日（6日間あるいは月の前半とする意見も）に株式を保有すると、この効果が得られるといわれている。
08-24,あなたはウォール街にいるか、おかしな人かのどちらかで、その間には何もない。(You are either on Wall Street or you’re a bum and there’s nothing in between.),ウォール街の名言,
08-25,投資による十分な利回りを得るためには投資のエキスパートである必要はない。エキスパートでない場合は、自分の限界を認識して、道理にかなった収益を確実に拳げられるコースを選ばなければならない。,ウォーレン・バフェット,
08-26,投資家になるには、より良い明日を信じなければなりません。(To be an investor you must be a believer in a better tomorrow.),ウォール街の名言,
08-27,人の行く裏に道あり 花の山,出典不明（千利休の言葉という説あり）,他人と同じ行動をしていては儲けは得られないという逆張りの精神を表している。多数が売っているときに買い、買っているときに売るなど、逆の行動が利益につながる場合もある。ただし、やみくもに逆張りをするのではなく、チャートや企業の実力を見極める必要がある。
08-28,"富は、主に投資成績によって決まるのではなく、投資家の行動によって決まる。(Wealth isn’t primarily determined by investment performance, but by investor behavior.)",ウォール街の名言,
08-29,眠られぬ株は持つな,日本の相場格言,
08-30,他の人が貪欲であるとき、恐れてください。他の人が恐れているときは貪欲になろう。(Be fearful when others are greedy. Be greedy when others are fearful.),ウォール街の名言,
08-31,天井を売らず 底を買わず,八木虎之巻,
09-01,株は5月に売って、9月に買え,アノマリー,"英語では“Sell in May, and go away, don’t come back until St Leger day.”とされるイギリスの投資格言。セント・レジャー・デー（9月第2土曜日）までは市場から離れるべきという意味。アメリカでは1月から5月にかけて相場が上昇し、6月以降は夏季休暇の影響で売買が減少し下がる傾向がある。"
09-02,"株価がこれまでがどうであったかではなく、これからどうなるかが重要だ。(I don’t care where stocks have been, I care where they’re going.)",ウォール街の名言,
09-03,証券会社のレポートは読みません。理髪店へ行って『散髪した方がいいかな』と聞くようなものだからです。,ウォーレン・バフェット,金融機関の助言に安易に頼るのではなく、自らの判断で投資すべきであるという警告である。情報源は数あれど、最終判断は自己責任という姿勢を強調している。
09-04,勇気は、どんなに危機的状況に陥っても、健全な投資はいずれ報われることを教えてくれました。 (Courage taught me no matter how bad a crisis gets … any sound investment will eventually pay off.),ウォール街の名言,
09-05,落ちてくるナイフはつかむな,日本の相場格言,
09-06,自分への投資は最高の利益をもたらす。(An investment in knowledge pays the best interest.),ウォール街の名言,
09-07,ほとんどの人がグローバリゼーションが世界の未来を左右すると思っているが、実はテクノロジーの方がはるかに重要だ,ピーター・ティール,PayPalの共同創業者であり、Facebook、LinkedIn、SpaceXなどへの投資で成功したベンチャーキャピタリスト。著書『ZERO to ONE』の中で、グローバリゼーションでは解決できない問題をテクノロジーが解決するという考えを示している。現在の延長線上に未来はないという視点は、投資対象を選ぶ上でも重要である。
09-08,強気相場はセックスのようなものです。終わる直前が一番気持ちいい。(A bull market is like sex. It feels best just before it ends.),ウォール街の名言,
09-09,まずは生き残れ、儲けるのはそれからだ。,ジョージ・ソロス,
09-10,"悲観が最大のときが最良の買い時であり、楽観が最大の時が最良の売り時である。(The time of maximum pessimism is the best time to buy, and the time of maximum optimism is the best time to sell.)",ウォール街の名言,
09-11,ここにいるオレは、落ちるとこまで落ちた。でもこれも悪い気分じゃない。ここから行く方向は、たった一つしかないのだから。,ジョージ・ソロス,
09-12,私が早期に学んだもう 1 つの教訓は、ウォール街には新しいものは何もないということです。憶測は丘と同じくらい古いので、あり得ません。今日の株式市場で起こっていることは、以前にも起こったことであり、また起こるでしょう。(Another lesson I learned early is that there is nothing new in Wall Street. There can’t be because speculation is as old as the hills. Whatever happens in the stock market today has happened before and will happen again.),ウォール街の名言,
09-13,1ドルのものを40セントで買う哲学を学んだ。,ウォーレン・バフェット,
09-14,"弱気相場はひどい風邪のようなものです。あなたはそれらを嫌いますが、最終的には気分が良くなることを知っています。(Bear markets are like bad colds. You hate them, but you know eventually you'll feel better.)",ウォール街の名言,
09-15,曲がり屋に向かえ,日本の相場格言,
09-16,実際の修正よりも、修正を待ったり、修正を予想することで、多くの人がお金を失いました。(More people lost money waiting for corrections and anticipating corrections than the actual corrections.),ウォール街の名言,
09-17,優れた企業というのは、25年から30年にわたって優れた状態でいる企業のことである。,ウォーレン・バフェット,長期投資においては、継続して優位性を保つ企業を選ぶことが重要であるという考え方である。真に優れた企業とは模倣困難な仕組みや価値を持っていると述べている。
09-18,トレンドはあなたの味方だ。(The trend is your friend.),ウォール街の名言,
09-19,潮が引いたら誰が裸で泳いでいたかわかる。,ウォーレン・バフェット,相場が良いときは誰もが儲けているように見えるが、相場が悪化したときにこそ本当の運用能力が明らかになることを示す格言である。知識やリスク管理を怠った運用は、いずれ露呈するという警鐘でもある。
09-20,"投機とは、わずかなお金を大きなお金に変えるための努力であり、おそらくは失敗する。投資とは、大金が少しにならないようにするための努力であり、成功するはずのものである。(Speculation is an effort, probably unsuccessful, to turn a little money into a lot. Investment is an effort, which should be successful, to prevent a lot of money from becoming a little.)",ウォール街の名言,
09-21,売るべし 買うべし 休むべし,出典不明,取引の連続ではなく、売買後には一旦休んで市場の状況を見直すべきという格言である。冷静な判断を保つためには、無理な売買を避け、時にはポジションを持たずに観察する「休む」ことも戦略の一つとして重要である。
09-22,買い時は、通りに血が流れているときだ。(The time to buy is when there’s blood in the streets.),ウォール街の名言,
09-23,何の道にも、進むと退くとが肝要なるべし。,売買出世車,
09-24,"知恵というものは、事実や現実ではなく、それを主張する人間やその主張の仕方と結びついた抽象的なものであることが多い。 (Wisdom, itself, is often an abstraction associated not with fact or reality but with the man who asserts it and the manner of its assertion.)",ウォール街の名言,
09-25,保合い放れにつけ,日本の相場格言,
09-26,"自由市場と自由選挙によって支配される社会では、組織化された強欲が無秩序な民主主義に打ち勝つ。 (In a society governed passively by free markets and free elections, organized greed always defeats disorganized democracy.)",ウォール街の名言,
09-27,うまく行っていない時、最初にすべきことは投資額を減らすことだ。損失を取り返そうとしてはならない。投資を再開する時は、小額ではじめるのだ。,ジョージ・ソロス,
09-28,"潮が引くと、裸で泳いでいる人が見える。(When the tide goes out, you see who’s swimming naked.)",ウォール街の名言,
09-29,大事なのは、自分が好きなことを飛びきり上手にやること。お金は副産物にすぎない,ウォーレン・バフェット,
09-30,"株の市場であって、株式市場ではない。(It’s a market of stocks, not a stock market.)",ウォール街の名言,
10-01,私は株を買う理由を1ページ書き続けられないなら買わない。間違っているかもしれないが、私はいつも理由を把握している。,ウォーレン・バフェット,
10-02,"市場は短期的には投票ですが、長期的には計量だ。(In the short run, the market is a voting machine but in the long run, it is a weighing machine.)",ウォール街の名言,
10-03,命金には手をつけるな,日本の相場格言,
10-04,お金を節約する唯一の理由は、それを投資することだ。(The only reason to save money is to invest it.),ウォール街の名言,
10-05,人の商い、うらやむべからず,相場三昧伝（本間宗久）,他人の投資成績をうらやましがっても自分の成績が良くなるわけではないという教訓である。SNSなどで他人の成功体験を見る機会が増えた現代においても、無理に真似したり焦ったりすることなく、自分のスタイルを確立することが重要である。
10-06,ゲームに勝つのは、競技場に集中するプレーヤーであり、スコアボードに釘付けになっているプレーヤーではありません。 (Games are won by players who focus on the playing field –- not by those whose eyes are glued to the scoreboard.),ウォール街の名言,
10-07,株式市場バブルは何もないところからは生まれない。現実にはしっかりとした基盤があっても、現実が誤解により歪められてしまう。,ジョージ・ソロス,
10-08,買うのは企業、株ではない,ウォーレン・バフェット,
10-09,人の行く裏に道あり花の山,日本の相場格言,
10-10,"私は、オプション取引で 2 人の子供をハーバード大学に通わせました。残念ながら、彼らは私のブローカーの子供でした。(I put two children through Harvard by trading options. Unfortunately, they were my broker’s children.)",ウォール街の名言,
10-11,株を買うなら、どんな愚か者にも経営を任せられる優れた会社の株を買いたいと思うでしょう。なぜなら、いつかは愚かな経営者が現れるからです。,ウォーレン・バフェット,
10-12,"ウォール街の金利はともかく、5パーセントの金利でさえ払っている国は、時折、破綻をきたすに違いない。(A country which pays even five per cent. interest, to say nothing of the rates of Wall Street, must from time to time commit bankruptcy.)",ウォール街の名言,
10-13,仕掛けたる米にて損を惜しみ、無理にひいきを付け、辛抱するほど大損するものなり。毎度あることなり。必ず見切るべし。過ちは改むるに憚ることなかれ。,八木虎之巻,
10-14,ウォール街で金持ちになる秘訣を教えよう。他の人が恐れているときに、あなたは貪欲であろうとする。そして、他の人が貪欲であるときに、あなたは恐れを抱こうとする。(I will tell you the secret to getting rich on Wall Street. You try to be greedy when others are fearful. And you try to be fearful when others are greedy.),ウォール街の名言,
10-15,経済学とは非常に洗練された分野で、過去にとった行動がいかに間違えていたかを説明するのに秀でている。将来については、それほどでもない,ベン・バーナンキ,2006年から2014年までFRB議長を務めた米国の経済学者。「デフレ克服のためにはヘリコプターからお札をばら撒けばよい」という発言から「ヘリコプター・ベン」とも呼ばれた。1930年代の大恐慌や1990年代の日本のデフレ研究でも知られ、2008年の世界金融危機発生時には量的緩和政策を導入し、米国経済だけでなく世界を恐慌の縁から救った。そんな経済学のプロ中のプロでも、「経済学はこの程度のもの」という認識を持っていた点は興味深い。
10-16,"ブローカーは、その株が「動く態勢にある」と言った。バカだなぁ、上がるって意味だと思ってた。(The broker said the stock was “poised to move.” Silly me, I thought he meant up.)",ウォール街の名言,
10-17,我々が歴史から学ぶべきなのは、人々が歴史から学ばないという事実だ,ウォーレン・バフェット,古代ローマのユリウス・カエサルやプロイセンの鉄血宰相ビスマルクなども同様のことを述べている。時代を読み、投資判断に活かす姿勢を持つことの重要性を示している。
10-18,ネズミ捕りの中には必ず無料のチーズがある。(There is always free cheese in a mousetrap.),ウォール街の名言,
10-19,買い付け前に両眼を閉じて、いま正に投資しようとしている企業の十年後の姿をじっと思い抜く。,ウォーレン・バフェット,
10-20,良い投資とは退屈なものだよ。,ジョージ・ソロス,
10-21,米だんだん下げ、人気も揃い弱く、何程下がるも知れがたく、わが考えも弱かるべしと思う節、心を転じ買い入れるべきなり。この思い切り、海中に飛び入る心持ち甚だ成しにくきものなれど、その節疑いの気を生ぜず買うべし。きわめて利運なり。下げと見込むとき、思い入れの通り下がるものなれば心易きものなれど、人気下がると片寄るときは、かえって上がるものゆえ考えに及ばざるなり。上げも同断。すなわち海中に飛び込む心持ち、極意なり。,宗久翁秘録,
10-22,目先観で相場を張るな,日本の相場格言,
10-23,分散しすぎない。,フィリップ・フィッシャー,分散投資は安心のように見えて、魅力のない銘柄まで保有してしまうリスクを伴う。銘柄を厳選して集中投資するという視点の重要性を説いた格言である。
10-24,カミソリと鉈（なた）,日本の相場格言,
10-25,"ウォール街は株や債券を売っているが、実際に売っているのは希望だ。 (Wall Street sells stocks and bonds, but what it really peddles is hope.)",ウォール街の名言,
10-26,迷いが出たら売れ,日本の相場格言,
10-27,"不況になり、株式市場が下落する。それが起こることを理解していない場合、準備ができていないため、市場でうまくいくことはありません。(You get recessions, you have stock market declines. If you don’t understand that’s going to happen, then you’re not ready, you won’t do well in the markets.)",ウォール街の名言,
10-28,買い二分に売り八分,日本の相場格言,
10-29,"人生は株式市場と非常によく似ています。不安定ですが、十分に長く続ければ、長期的にはかなりのリターンが得られる可能性があります。(Life has immense analogy with the stock market. It is volatile, but if you stick on long enough, it has the potential to reward you with handsome returns in the long run.)",ウォール街の名言,
10-30,株券ではなく事業を買う。,ウォーレン・バフェット,
10-31,ハロウィーン効果,アノマリー,米国にある「10月に買って4月に売れ」というアノマリーのことである。毎年10月のハロウィーンシーズンがファンドの決算期にあたり、多くの機関投資家が株を売却するためである。このハロウィーンシーズンに買いを仕込み「Sell in May（株は5月に売れ）」で売る流れが効率的といわれている。
11-01,麦わら帽子は冬に買え,アノマリー,麦わら帽子が不要な冬に買えば安く手に入ることから、株も人が注目する前の割安な状態で買うべきという教訓を示す格言。
11-02,"自由は富を生み、富は自由を破壊する。(Liberty produces wealth, and wealth destroys liberty.)",ウォール街の名言,
11-03,現実は、金融市場が自己不安定化している。時には、市場はバランスをとるのではなく不均衡化に向かう傾向がある。,ジョージ・ソロス,
11-04,無駄を省き、余剰を投資に回せば、やがて大きな実りとなる,本多静六,
11-05,金持ちになるためには２つのルールを守りなさい。ルール１：絶対にお金を損しないこと。ルール２：絶対にルール１を忘れないこと,ウォーレン・バフェット,
11-06,魔の水曜日,アノマリー,SQ値（先物取引やオプション取引で、決済最終日まで反対売買がなかった際の清算に適用される指数）の算出がある水曜日は、相場が軟調になりやすいというアノマリーのこと。魔の水曜日には相場が一方通行になりやすいため注意が必要となる。
11-07,"愛は株のようなものです。すぐに損失を被りたくない場合は、多様化した方がよいでしょう。(Love is like stocks, if you don't want to suffer loss quickly, you better diversify!)",ウォール街の名言,
11-08,株価はもとの古巣に帰る,アノマリー,
11-09,安全域を持つ。,ウォーレン・バフェット,
11-10,投資の世界では、4年後の安値で終わるのではなく、10年後、15年後の安値で終わります。(Bottoms in the investment world don’t end with four-year lows; they end with 10- or 15-year lows.),ウォール街の名言,
11-11,売りにくい相場は安い、売りやすい相場は高い,日本の相場格言,
11-12,"弱気相場では、株は正当な所有者に戻ります。(In bear markets, stocks return to their rightful owners.)",ウォール街の名言,
11-13,備えあれば迷いなし,日本の相場格言,
11-14,皆われ一心の妄想に引き回されて、思わぬ損をすることなり。（中略）見切ってしまうべきところを引きしろいて大損などするごとくなれり。,売買出世車,
11-15,休むも相場,日本の相場格言,
11-16,堅実に資産を増やすには、収入の一割は必ず貯蓄に回すべし,本多静六,
11-17,卓抜したビジネスについては、その株価にかかわらず一切売るつもりがない。,ウォーレン・バフェット,
11-18,投資家の最大の問題、そして最悪の敵でさえも、自分自身にある可能性が高い。(The investor’s chief problem — and even his worst enemy — is likely to be himself.),ウォール街の名言,
11-19,万人が万人ながら強気なら、たわけになりて米を売るべし。,三猿金泉秘録,
11-20,米弱みにみえ、しきりに売り気進み立ち候節、気転じ買い方につくべし。きわめて利運なり。ぜひ上ぐべしと買い気進み立ち候節、これまた気を転じ売るべし。,宗久翁秘録,
11-21,頭と尻尾はくれてやれ,出典不明,相場の天井と底値は他人に譲るという意味である。最安値で買って最高値で売ることは現実的ではないため、多少上がってから買い、多少下がってから売ればよいという教えである。強欲に最初から最後までを狙うと、タイミングを逃しやすくなるため、冷静な判断が求められる。
11-22,両建て両損,日本の相場格言,
11-23,"最終的に、他のすべてに取って代わる投資が 1 つあります。それは、自分自身に投資することです。 (Ultimately, there’s one investment that supersedes all others: Invest in yourself.)",ウォール街の名言,
11-24,万人が心に迷う米なれば、つれなき道へおもむくがよし。,三猿金泉秘録,
11-25,"CDO は事実上、アメリカ中産階級の居住者のためのクレジット ロンダリング サービスでした。ウォール街にとって、それは鉛を金に変える機械でした。 (The CDO was, in effect, a credit laundering service for the residents of Lower Middle Class America. For Wall Street it was a machine that turned lead into gold.)",ウォール街の名言,
11-26,マーケットは常に不確定で流動的な状態にあり、金は、誰にも明らかなことは割り引いて予想外なことに賭けることによって作られるのさ。,ジョージ・ソロス,
11-27,長期的に投資に成功するための道は、やみくもにリスクをとることではなく、リスクをコントロールすることにある。,ハワード・マークス,オークツリー・キャピタルの基本理念に「リスクコントロール」があるように、マークスはリスク管理を投資成功の鍵と考えている。リスクについての洞察が豊富な彼の中でも代表的な格言である。
11-28,"貧しい人に2,000ドル渡せば、生活必需品を買うために即座に経済に循環する。大企業に2,000ドル渡せば、海外に保管して、もうお金がないと言って、もう2,000ドル要求する。 (Give a poor person $2,000, and it's instantly recirculated into the economy when they need to buy necessities. Give a large company $2,000, and they'll store it offshore, say they have no more money, and ask for another $2,000.)",ウォール街の名言,
11-29,千人が千人ながら強気なら、くだるべき理をふくむ米なり。,三猿金泉秘録,
11-30,賢い投資家は、楽観主義者に売り、悲観主義者から買う現実主義者です。 (The intelligent investor is a realist who sells to optimists and buys from pessimists.),ウォール街の名言,
12-01,年末ラリー,アノマリー,文字どおり年末にかけて株価が上昇するというアノマリーのこと。年末、クリスマス休暇を取る市場参加者が増えてくると、売り圧力が弱まって株高になるため「サンタクロースラリー」とも呼ばれる。
12-02,高リスクは主として高い価格とともに訪れる。,ハワード・マークス,相場や銘柄が高値圏にあるときこそリスクは高まるという投資の基本を端的に表現した格言である。常に価格の水準に注目する必要があるという教えである。
12-03,多様化は唯一の『タダ飯』だ。ほとんどの人はそれを十分に活用していない,レイ・ダリオ,
12-04,偽ダイヤを持つよりも世界最大のブルーダイヤであるホープダイヤモンドの一部を所有する方がはるかに理想的である。,ウォーレン・バフェット,
12-05,"株式市場は決して明白ではありません。ほとんどの場合、ほとんどの人をだますように設計されています。(The stock market is never obvious. It is designed to fool most of the people, most of the time.)",ウォール街の名言,
12-06,勝ちに誇り、百両の利は二百両取る気になり、千両二千両の気移り、欲に迷うて見切りかね、損出ずるなり。,宗久翁秘録,
12-07,歴史は必ずしも繰り返されるわけではないが、そこに現れるパターン等にはある種の類似点を見つけることができる。,ジョージ・ソロス,
12-08,時のいたるに、小みちにのみ心がくれば大功をとげがたし。時のいたらざるに、大だくみにかかれば仕損じること多し。,売買出世車,
12-09,"機会はめったに訪れません。金の雨が降ったら、指ぬきではなくバケツを出してください。 (Opportunities come infrequently. When it rains gold, put out the bucket, not the thimble.)",ウォール街の名言,
12-10,ジブリの法則,アノマリー,日本テレビの「金曜ロードショー」でジブリ作品が放送されると、週明け相場が荒れるというアノマリーである。これはアメリカの雇用統計とジブリの放送日が重なる場合も多いため、と考えられている。
12-11,"優れた経営陣による優れた事業の一部を所有している場合、私たちの好きな保有期間は永遠です。(In fact, when we own portions of outstanding businesses with outstanding managements, our favorite holding period is forever.)",ウォール街の名言,
12-12,イノベーションの価値は、問題解決の規模によって決まる,キャシー・ウッド,
12-13,"億万長者になりたいなら、10 億ドルから始めて、新しい航空会社を立ち上げましょう。(If you want to be a millionaire, start with a billion dollars and launch a new airline.)",ウォール街の名言,
12-14,世界的な危機は、世界金融システムそのものに内在する病理によって引き起こされる。,ジョージ・ソロス,
12-15,価格はあなたが支払うものだ。価値はあなたが得るものだ。(Price is what you pay. Value is what you get.),ウォール街の名言,
12-16,ビジネスマンになる前は、私も人間だったんだ。,ジョージ・ソロス,
12-17,筋の耳うちは信用するな,日本の相場格言,
12-18,投資とは、未来の可能性に賭けること。過去の実績だけを見ていては、本当の機会を逃す,村上世彰,
12-19,画餅は食えないものだ,日本の相場格言,
12-20,企業価値の向上に寄与しない株主は、株主としての資格がない,村上世彰,
12-21,しかし、投資とは、ゲームで他人を打ち負かすことではありません。自分のゲームで自分をコントロールすることです。(But investing isn’t about beating others at their game. It’s about controlling yourself at your own game.),ウォール街の名言,
12-22,新値にはだまってつけ,日本の相場格言,
12-23,安易な金儲けをやめて、自分の人生で何かを生み出してくだせ。他人の売買で生計を立てるのではなく、創造しろ。(Stop going for the easy buck and produce something with your life. Create instead of living off the buying and selling of others.),ウォール街の名言,
12-24,値上がり株より商いの出来る株を買え,日本の相場格言,
12-25,"巨大な格付け機関が、3 つの競争力のある酒場が並んでいて、それぞれが自由に飲酒年齢を設定できると想像してみてください。やがて、9 歳児はバーボンを飲むようになるだろう。 (Imagine the big rating agencies as three competitive saloons standing side by side, with each free to set its own drinking age. Before long, nine-year-olds would be downing bourbon.)",ウォール街の名言,
12-26,逆日歩に売りなし、逆日歩に買いなし,日本の相場格言,
12-27,世界中の多くの「悪」は、実際には意図的なものではない。金融システムの多くの人は、意図せず大きな損害を与えたのだ。,ジョージ・ソロス,
